Elevation,YEAR,Treatment,aspect,slope,InitialHabitat,BlockNo,Shannon,Richness
62.687,2017,SummerExclosure,140,2,Rangeland,6,2.0934601532029538,22
63.076,2017,WinterExclosure,101,2,Rangeland,6,2.1572371842768687,18
48.962,2017,Control,89,11,Rangeland,60,2.923871537140215,36
48.915,2017,Mowing,62,9,Rangeland,60,2.5605793922266376,28
49.978,2017,PermanentExclosure,92,10,Rangeland,60,2.7871928859692794,29
48.767,2017,SummerExclosure,74,8,Rangeland,60,3.278260774074659,43
49.381,2017,WinterExclosure,61,8,Rangeland,60,2.9897003456461184,37
50.261,2017,Control,100,8,Rangeland,61,2.8976234550711975,35
49.945,2017,Mowing,278,1,Rangeland,61,2.8799410621166697,28
49.805,2017,PermanentExclosure,260,1,Rangeland,61,2.8445872534954693,32
49.931,2017,SummerExclosure,276,2,Rangeland,61,2.695083486367067,31
50.06,2017,WinterExclosure,284,2,Rangeland,61,2.385705583174549,35
47.82,2017,Control,94,8,Rangeland,62,2.4086410121965214,24
47.025,2017,Mowing,255,10,Rangeland,62,2.4552070744400365,28
46.711,2017,PermanentExclosure,100,8,Rangeland,62,2.099074430185,22
46.482,2017,SummerExclosure,258,8,Rangeland,62,1.9542125941287205,22
46.733,2017,WinterExclosure,260,2,Rangeland,62,2.1374981038891194,25
3.256,2017,Control,0,0,Meadow,69,2.4169227296317843,18
3.277,2017,Mowing,0,0,Meadow,69,2.149440816492506,19
3.197,2017,PermanentExclosure,0,0,Meadow,69,2.0410035989944895,14
3.242,2017,SummerExclosure,0,0,Meadow,69,2.0592517078496924,18
3.268,2017,WinterExclosure,0,0,Meadow,69,2.245902180618021,22
3.109,2017,Control,0,0,Rangeland,70,2.0349456800101526,17
3.349,2017,Mowing,0,0,Rangeland,70,2.1936156410324776,26
3.209,2017,PermanentExclosure,0,0,Rangeland,70,2.5046647978149847,22
3.24,2017,SummerExclosure,0,0,Rangeland,70,1.8184249289259515,18
3.25,2017,WinterExclosure,0,0,Rangeland,70,1.8245425755704077,18
59.102,2017,Control,156,4,Rangeland,74,2.6779500033638763,34
58.241,2017,Mowing,141,6,Rangeland,74,2.8583433204813726,32
59.51,2017,PermanentExclosure,101,6,Rangeland,74,2.821463731846994,30
59.577,2017,SummerExclosure,171,4,Rangeland,74,2.815933624274688,32
58.453,2017,WinterExclosure,107,6,Rangeland,74,2.6382164066521305,33
3.024,2017,Control,0,0,Meadow,85,1.9711038945058303,15
3.041,2017,Mowing,0,0,Meadow,85,2.023488234376407,14
2.971,2017,PermanentExclosure,0,0,Meadow,85,2.1208551885499887,17
2.995,2017,SummerExclosure,0,0,Meadow,85,2.3782705029894893,25
2.963,2017,WinterExclosure,0,0,Meadow,85,2.174945659538985,17
2.953,2017,Control,0,0,Meadow,95,2.2943607912235637,23
2.949,2017,Mowing,0,0,Meadow,95,1.7383251863841294,19
3.106,2017,PermanentExclosure,0,0,Meadow,95,2.5216979245075035,24
2.981,2017,SummerExclosure,0,0,Meadow,95,2.2294023361290165,21
3.011,2017,WinterExclosure,0,0,Meadow,95,2.198704746041427,23
4.612,2017,Control,82,6,Forest,96,1.0497922701486175,6
2.43366667,2017,Mowing,152,4,Forest,96,1.686725469937032,9
15.355,2017,PermanentExclosure,164,2,Forest,96,1.5596981689310467,10
2.419,2017,SummerExclosure,40,1,Forest,96,1.8569608123105283,10
2.18666667,2017,WinterExclosure,352,1,Forest,96,0.7025138412594207,7
2.091,2017,Control,268,1,Forest,97,1.6923624998604603,8
4.573,2017,Mowing,116,2,Forest,97,0.7786611569671182,4
4.563,2017,PermanentExclosure,268,6,Forest,97,1.1325775387981178,5
6.361,2017,SummerExclosure,140,1,Forest,97,0.7628886900374671,5
2.608,2017,WinterExclosure,42,2,Forest,97,1.4215540663138215,7
59.639,2018,Control,200,5,Rangeland,13,2.352435860102288,21
60.482,2018,Mowing,220,4,Rangeland,13,1.2622533115181604,18
60.455,2018,PermanentExclosure,186,4,Rangeland,13,2.197237703497636,24
61.298,2018,SummerExclosure,210,6,Rangeland,13,1.985998366405038,20
61.198,2018,WinterExclosure,255,2,Rangeland,13,2.6717234931407683,26
49.532,2018,Control,138,20,Forest,15,1.6131802531185844,17
50.521,2018,Mowing,152,16,Forest,15,1.8678977748470402,11
52.628,2018,PermanentExclosure,158,10,Forest,15,2.077134891445803,13
53.472,2018,SummerExclosure,166,10,Forest,15,1.623276732887742,12
51.721,2018,WinterExclosure,146,18,Forest,15,2.1946204751301233,14
41.467,2018,Control,326,12,Rangeland,28,1.4440822264506947,13
36.756,2018,Mowing,356,18,Rangeland,28,1.8369918866734583,14
39.91,2018,PermanentExclosure,332,16,Rangeland,28,1.2197206283459825,11
39.392,2018,SummerExclosure,344,16,Rangeland,28,1.9790251042155766,13
36.594,2018,WinterExclosure,346,14,Rangeland,28,2.3769632145142574,20
52.057,2018,Control,150,8,Rangeland,36,2.409039891411401,25
55.495,2018,Mowing,151,4,Rangeland,36,2.494731681500493,28
55.861,2018,PermanentExclosure,151,11,Rangeland,36,1.9982900010383493,20
54.309,2018,SummerExclosure,240,3,Rangeland,36,2.8268556256274957,27
54.351,2018,WinterExclosure,192,10,Rangeland,36,2.6614555490603653,25
61.056,2018,Control,126,1,Rangeland,37,1.6491887289520415,21
60.28,2018,Mowing,72,2,Rangeland,37,2.285811778636194,22
60.571,2018,PermanentExclosure,63,5,Rangeland,37,1.119017259524224,9
60.88,2018,SummerExclosure,65,1,Rangeland,37,2.3321211668020307,30
60.081,2018,WinterExclosure,114,3,Rangeland,37,2.7409514734906564,21
38.707,2018,Control,110,8,Rangeland,42,1.9892638036453638,20
40.298,2018,Mowing,95,10,Rangeland,42,2.0558738189630383,17
40.645,2018,PermanentExclosure,180,8,Rangeland,42,1.257470945873255,16
41.236,2018,SummerExclosure,80,10,Rangeland,42,1.812153053386551,22
39.658,2018,WinterExclosure,103,11,Rangeland,42,1.3581259737560112,18
25.855,2018,Control,302,4,Forest,46,1.5990766447538014,7
32.852,2018,Mowing,12,10,Forest,46,1.6646980276277386,9
30.79,2018,PermanentExclosure,164,8,Forest,46,1.2878836440622594,6
29.297,2018,SummerExclosure,298,10,Forest,46,1.3862525926867262,8
27.164,2018,WinterExclosure,134,8,Forest,46,1.277034259466139,4
26.7344,2018,Control,146,8,Forest,47,1.3290890155023276,8
25.8817,2018,Mowing,32,12,Forest,47,1.5666275572354953,11
27.277,2018,PermanentExclosure,212,6,Forest,47,1.9953208755782041,12
28.614,2018,SummerExclosure,338,6,Forest,47,1.5895845524884207,12
25.165,2018,WinterExclosure,182,12,Forest,47,1.0725816513824442,9
63.331,2018,Control,152,16,Rangeland,5,1.2748978278203271,16
60.557,2018,Mowing,168,10,Rangeland,5,2.4357386018273672,15
62.715,2018,PermanentExclosure,160,21,Rangeland,5,1.9692315420106885,19
60.971,2018,SummerExclosure,144,10,Rangeland,5,1.5288885367039426,11
62.202,2018,WinterExclosure,164,12,Rangeland,5,1.9448626972152374,14
72.395,2018,Control,124,4,Rangeland,54,2.1324070131636272,13
73.812,2018,Mowing,99,2,Rangeland,54,2.4194349752735853,21
74.567,2018,PermanentExclosure,11,1.5,Rangeland,54,1.9191960844665163,15
73.668,2018,SummerExclosure,90,3,Rangeland,54,2.0843034845757336,13
74.477,2018,WinterExclosure,110,4,Rangeland,54,2.297114428609341,25
70.733,2018,Control,102,4,Rangeland,55,1.581703696065946,14
68.901,2018,Mowing,60,4,Rangeland,55,1.9300766412782566,16
68.974,2018,PermanentExclosure,60,5,Rangeland,55,2.1068234623208033,22
69.772,2018,SummerExclosure,39,3,Rangeland,55,1.6510683103561383,12
69.914,2018,WinterExclosure,110,4,Rangeland,55,1.6246005064045814,13
62.814,2018,Control,180,1,Rangeland,6,1.6167642003296077,8
63.011,2018,Mowing,150,2,Rangeland,6,1.459164283426581,8
62.708,2018,PermanentExclosure,129,2,Rangeland,6,0.8211191099497339,6
62.687,2018,SummerExclosure,140,2,Rangeland,6,0.922855206855919,8
63.076,2018,WinterExclosure,101,2,Rangeland,6,1.1825424107853046,9
48.962,2018,Control,89,11,Rangeland,60,2.290256119672383,23
48.915,2018,Mowing,62,9,Rangeland,60,1.5890127924783617,15
49.978,2018,PermanentExclosure,92,10,Rangeland,60,1.9433400184077663,17
48.767,2018,SummerExclosure,74,8,Rangeland,60,2.678888639006788,28
49.381,2018,WinterExclosure,61,8,Rangeland,60,2.846884967268969,27
50.261,2018,Control,100,8,Rangeland,61,2.8115903810557357,27
49.945,2018,Mowing,278,1,Rangeland,61,2.4256384678987217,19
49.805,2018,PermanentExclosure,260,1,Rangeland,61,2.7499425864874394,31
49.931,2018,SummerExclosure,276,2,Rangeland,61,2.792869616839525,27
50.06,2018,WinterExclosure,284,2,Rangeland,61,3.0069742676958557,30
47.82,2018,Control,94,8,Rangeland,62,1.7138367121184146,12
47.025,2018,Mowing,255,10,Rangeland,62,1.7213723903469467,20
46.711,2018,PermanentExclosure,100,8,Rangeland,62,1.6166334709541266,12
46.482,2018,SummerExclosure,258,8,Rangeland,62,1.8607188063619435,14
46.733,2018,WinterExclosure,260,2,Rangeland,62,2.1025012243014856,18
3.256,2018,Control,0,0,Meadow,69,2.1949639959929224,15
3.277,2018,Mowing,0,0,Meadow,69,2.0478836710062858,17
3.197,2018,PermanentExclosure,0,0,Meadow,69,1.214584456317094,15
3.242,2018,SummerExclosure,0,0,Meadow,69,2.3064401667469734,15
3.268,2018,WinterExclosure,0,0,Meadow,69,1.9515938010302132,13
3.109,2018,Control,0,0,Rangeland,70,1.0472559679279883,10
3.349,2018,Mowing,0,0,Rangeland,70,2.3295746654633476,14
3.209,2018,PermanentExclosure,0,0,Rangeland,70,2.359849252163834,13
3.24,2018,SummerExclosure,0,0,Rangeland,70,2.172155135076633,12
3.25,2018,WinterExclosure,0,0,Rangeland,70,1.5566199506058238,10
59.102,2018,Control,156,4,Rangeland,74,2.619730429290341,29
58.241,2018,Mowing,141,6,Rangeland,74,2.6135915980678908,28
59.51,2018,PermanentExclosure,101,6,Rangeland,74,2.488828321966107,32
59.577,2018,SummerExclosure,171,4,Rangeland,74,2.451682273041216,26
58.453,2018,WinterExclosure,107,6,Rangeland,74,2.486721026720952,24
3.024,2018,Control,0,0,Meadow,85,2.283027337513519,14
3.041,2018,Mowing,0,0,Meadow,85,1.4458784498494683,10
2.971,2018,PermanentExclosure,0,0,Meadow,85,2.0498792645912243,12
2.995,2018,SummerExclosure,0,0,Meadow,85,2.284466782765171,16
2.963,2018,WinterExclosure,0,0,Meadow,85,1.4142166037427517,13
2.953,2018,Control,0,0,Meadow,95,1.8030107360146874,20
2.949,2018,Mowing,0,0,Meadow,95,1.2411901805281214,12
3.106,2018,PermanentExclosure,0,0,Meadow,95,2.3482969433376804,22
2.981,2018,SummerExclosure,0,0,Meadow,95,2.002130853263926,19
3.011,2018,WinterExclosure,0,0,Meadow,95,1.754642369703336,17
4.612,2018,Control,82,6,Forest,96,1.4290939613879143,6
2.43366667,2018,Mowing,152,4,Forest,96,1.7886538392284157,8
15.355,2018,PermanentExclosure,164,2,Forest,96,1.6317522675655214,9
2.419,2018,SummerExclosure,40,1,Forest,96,1.8416609146130711,11
2.18666667,2018,WinterExclosure,352,1,Forest,96,1.149477093379774,5
2.091,2018,Control,268,1,Forest,97,1.350086246638416,5
4.573,2018,Mowing,116,2,Forest,97,0.7199174050271059,3
4.563,2018,PermanentExclosure,268,6,Forest,97,0.7903219223062052,4
6.361,2018,SummerExclosure,140,1,Forest,97,0.7597098814402093,4
2.608,2018,WinterExclosure,42,2,Forest,97,1.0536665361137982,5
59.639,2019,Control,200,5,Rangeland,13,1.8279050649287631,14
60.482,2019,Mowing,220,4,Rangeland,13,2.0415887167335796,18
60.455,2019,PermanentExclosure,186,4,Rangeland,13,2.3300771698631015,31
61.298,2019,SummerExclosure,210,6,Rangeland,13,1.7572636903960304,14
61.198,2019,WinterExclosure,255,2,Rangeland,13,1.6376540305908114,18
49.532,2019,Control,138,20,Forest,15,2.007634395044852,19
50.521,2019,Mowing,152,16,Forest,15,1.6329053877022432,11
52.628,2019,PermanentExclosure,158,10,Forest,15,1.9560249481372165,13
53.472,2019,SummerExclosure,166,10,Forest,15,1.967022641586151,15
51.721,2019,WinterExclosure,146,18,Forest,15,2.072893590096319,16
41.467,2019,Control,326,12,Rangeland,28,2.1951567511565306,17
36.756,2019,Mowing,356,18,Rangeland,28,2.0756426256901372,18
39.91,2019,PermanentExclosure,332,16,Rangeland,28,1.3431919593369188,12
39.392,2019,SummerExclosure,344,16,Rangeland,28,1.5340252006078088,13
36.594,2019,WinterExclosure,346,14,Rangeland,28,2.263490645641351,22
52.057,2019,Control,150,8,Rangeland,36,1.9417848816588563,21
55.495,2019,Mowing,151,4,Rangeland,36,2.3149533579869592,24
55.861,2019,PermanentExclosure,151,11,Rangeland,36,1.8772769808366339,16
54.309,2019,SummerExclosure,240,3,Rangeland,36,2.5398525363061943,26
54.351,2019,WinterExclosure,192,10,Rangeland,36,2.4888859164157004,23
61.056,2019,Control,126,1,Rangeland,37,1.8475133217161328,21
60.28,2019,Mowing,72,2,Rangeland,37,2.223932352753781,26
60.571,2019,PermanentExclosure,63,5,Rangeland,37,2.5750395298426394,24
60.88,2019,SummerExclosure,65,1,Rangeland,37,2.07682537495487,27
60.081,2019,WinterExclosure,114,3,Rangeland,37,1.0545993424161308,11
38.707,2019,Control,110,8,Rangeland,42,1.7584457471232238,15
40.298,2019,Mowing,95,10,Rangeland,42,1.5698986906121237,22
40.645,2019,PermanentExclosure,180,8,Rangeland,42,0.8127348167806505,14
41.236,2019,SummerExclosure,80,10,Rangeland,42,1.556968157395869,21
39.658,2019,WinterExclosure,103,11,Rangeland,42,1.191033021460747,18
25.855,2019,Control,302,4,Forest,46,1.500271769143096,10
32.852,2019,Mowing,12,10,Forest,46,1.2961730961230005,10
30.79,2019,PermanentExclosure,164,8,Forest,46,1.6231385284395015,11
29.297,2019,SummerExclosure,298,10,Forest,46,0.8531903058911254,8
27.164,2019,WinterExclosure,134,8,Forest,46,1.5236708720427916,6
26.7344,2019,Control,146,8,Forest,47,1.4478026580346914,13
25.8817,2019,Mowing,32,12,Forest,47,1.398023583760727,12
27.277,2019,PermanentExclosure,212,6,Forest,47,2.064684235753552,18
28.614,2019,SummerExclosure,338,6,Forest,47,1.4494387798456292,16
25.165,2019,WinterExclosure,182,12,Forest,47,1.28124674181777,12
63.331,2019,Control,152,16,Rangeland,5,1.6043846348294493,17
60.557,2019,Mowing,168,10,Rangeland,5,2.2324918433679364,17
62.715,2019,PermanentExclosure,160,21,Rangeland,5,1.9019124172845292,14
60.971,2019,SummerExclosure,144,10,Rangeland,5,1.0752206154116792,12
62.202,2019,WinterExclosure,164,12,Rangeland,5,2.2710011505920824,18
72.395,2019,Control,124,4,Rangeland,54,1.7697380897890536,17
73.812,2019,Mowing,99,2,Rangeland,54,1.9455607250922438,19
74.567,2019,PermanentExclosure,11,1.5,Rangeland,54,1.4347928112520427,11
73.668,2019,SummerExclosure,90,3,Rangeland,54,1.7282649939361987,15
74.477,2019,WinterExclosure,110,4,Rangeland,54,2.5096519344151056,22
70.733,2019,Control,102,4,Rangeland,55,2.1614493752732185,17
68.901,2019,Mowing,60,4,Rangeland,55,1.6910631454373026,18
68.974,2019,PermanentExclosure,60,5,Rangeland,55,2.2724632383763033,24
69.772,2019,SummerExclosure,39,3,Rangeland,55,1.6625865702356821,14
69.914,2019,WinterExclosure,110,4,Rangeland,55,2.0963955665772933,13
62.814,2019,Control,180,1,Rangeland,6,1.4585532360605702,14
63.011,2019,Mowing,150,2,Rangeland,6,1.8520106968648664,16
62.708,2019,PermanentExclosure,129,2,Rangeland,6,0.7025138412594207,7
62.687,2019,SummerExclosure,140,2,Rangeland,6,0.6238611820916378,9
63.076,2019,WinterExclosure,101,2,Rangeland,6,0.8543700366164566,9
48.962,2019,Control,89,11,Rangeland,60,2.565290584311273,29
48.915,2019,Mowing,62,9,Rangeland,60,2.240736803931224,27
49.978,2019,PermanentExclosure,92,10,Rangeland,60,2.4715470794884538,27
48.767,2019,SummerExclosure,74,8,Rangeland,60,2.76817457722855,33
49.381,2019,WinterExclosure,61,8,Rangeland,60,2.859055799858563,30
50.261,2019,Control,100,8,Rangeland,61,2.6227049397381146,31
49.945,2019,Mowing,278,1,Rangeland,61,1.6434970774192077,25
49.805,2019,PermanentExclosure,260,1,Rangeland,61,3.1570318649671982,37
49.931,2019,SummerExclosure,276,2,Rangeland,61,1.8344576811035953,26
50.06,2019,WinterExclosure,284,2,Rangeland,61,2.5514454673128277,39
47.82,2019,Control,94,8,Rangeland,62,2.137740732993132,17
47.025,2019,Mowing,255,10,Rangeland,62,1.8024619186892314,22
46.711,2019,PermanentExclosure,100,8,Rangeland,62,1.7631038380559687,17
46.482,2019,SummerExclosure,258,8,Rangeland,62,1.7244783628168128,18
46.733,2019,WinterExclosure,260,2,Rangeland,62,2.2810465355430134,20
3.256,2019,Control,0,0,Meadow,69,2.0619460237259952,14
3.277,2019,Mowing,0,0,Meadow,69,1.7539133990023776,11
3.197,2019,PermanentExclosure,0,0,Meadow,69,1.8967181431273183,12
3.242,2019,SummerExclosure,0,0,Meadow,69,2.0555694202075827,14
3.268,2019,WinterExclosure,0,0,Meadow,69,2.2001011418023846,16
3.109,2019,Control,0,0,Rangeland,70,2.0232029407501337,26
3.349,2019,Mowing,0,0,Rangeland,70,2.350543182880286,27
3.209,2019,PermanentExclosure,0,0,Rangeland,70,2.448940646454176,21
3.24,2019,SummerExclosure,0,0,Rangeland,70,2.0315974423739127,16
3.25,2019,WinterExclosure,0,0,Rangeland,70,1.8334392474167218,19
59.102,2019,Control,156,4,Rangeland,74,2.581378251581309,27
58.241,2019,Mowing,141,6,Rangeland,74,2.3814722653566402,25
59.51,2019,PermanentExclosure,101,6,Rangeland,74,2.037173187898796,19
59.577,2019,SummerExclosure,171,4,Rangeland,74,2.898596980177899,31
58.453,2019,WinterExclosure,107,6,Rangeland,74,2.6902469301004825,31
3.024,2019,Control,0,0,Meadow,85,2.0403229709437953,17
3.041,2019,Mowing,0,0,Meadow,85,1.3839103173491913,13
2.971,2019,PermanentExclosure,0,0,Meadow,85,1.9441403551382745,11
2.995,2019,SummerExclosure,0,0,Meadow,85,1.4515888042469673,13
2.963,2019,WinterExclosure,0,0,Meadow,85,1.5204370356455836,15
2.953,2019,Control,0,0,Meadow,95,2.10139053622452,20
2.949,2019,Mowing,0,0,Meadow,95,1.4348899086943236,18
3.106,2019,PermanentExclosure,0,0,Meadow,95,2.486626437287352,17
2.981,2019,SummerExclosure,0,0,Meadow,95,2.0301574492960537,19
3.011,2019,WinterExclosure,0,0,Meadow,95,2.1450194784152834,18
4.612,2019,Control,82,6,Forest,96,1.309015795371127,6
2.43366667,2019,Mowing,152,4,Forest,96,2.17157089695751,11
15.355,2019,PermanentExclosure,164,2,Forest,96,1.9202028609894186,11
2.419,2019,SummerExclosure,40,1,Forest,96,1.7845655578159807,10
2.18666667,2019,WinterExclosure,352,1,Forest,96,1.1268227809376254,6
2.091,2019,Control,268,1,Forest,97,0.9733696394891725,6
4.573,2019,Mowing,116,2,Forest,97,0.7517086547661883,3
4.563,2019,PermanentExclosure,268,6,Forest,97,0.9092228703491394,5
6.361,2019,SummerExclosure,140,1,Forest,97,0.8714032820467184,5
2.608,2019,WinterExclosure,42,2,Forest,97,0.91507581553203865,5
59.639,2020,Control,200,5,Rangeland,13,2.250456965078216,24
60.482,2020,Mowing,220,4,Rangeland,13,1.6587857398077088,16
60.455,2020,PermanentExclosure,186,4,Rangeland,13,2.1394347383155945,20
61.298,2020,SummerExclosure,210,6,Rangeland,13,1.6068912583458732,20
61.198,2020,WinterExclosure,255,2,Rangeland,13,2.1936220303391245,30
49.532,2020,Control,138,20,Forest,15,2.1786826702643802,17
50.521,2020,Mowing,152,16,Forest,15,1.6418959383093024,14
52.628,2020,PermanentExclosure,158,10,Forest,15,1.7752309474168948,15
53.472,2020,SummerExclosure,166,10,Forest,15,2.4081091795954603,19
51.721,2020,WinterExclosure,146,18,Forest,15,2.1272730562044586,17
41.467,2020,Control,326,12,Rangeland,28,1.7049964564199775,12
36.756,2020,Mowing,356,18,Rangeland,28,2.001777555233088,17
39.91,2020,PermanentExclosure,332,16,Rangeland,28,1.6776908835717332,11
39.392,2020,SummerExclosure,344,16,Rangeland,28,1.6109113796624062,9
36.594,2020,WinterExclosure,346,14,Rangeland,28,2.0540760293947997,20
52.057,2020,Control,150,8,Rangeland,36,1.65974077803136,21
55.495,2020,Mowing,151,4,Rangeland,36,2.290973347346195,22
55.861,2020,PermanentExclosure,151,11,Rangeland,36,2.0600523031443747,21
54.309,2020,SummerExclosure,240,3,Rangeland,36,2.792299119624431,31
54.351,2020,WinterExclosure,192,10,Rangeland,36,2.66986217168289,35
61.056,2020,Control,126,1,Rangeland,37,1.8453891744537887,18
60.28,2020,Mowing,72,2,Rangeland,37,2.4102029838460064,27
60.571,2020,PermanentExclosure,63,5,Rangeland,37,1.0410557844728034,11
60.88,2020,SummerExclosure,65,1,Rangeland,37,1.5424456085452756,20
60.081,2020,WinterExclosure,114,3,Rangeland,37,2.3841965104433145,24
38.707,2020,Control,110,8,Rangeland,42,2.277229161242867,26
40.298,2020,Mowing,95,10,Rangeland,42,1.9401504030205303,23
40.645,2020,PermanentExclosure,180,8,Rangeland,42,1.1451062038723705,15
41.236,2020,SummerExclosure,80,10,Rangeland,42,1.6592427972423547,23
39.658,2020,WinterExclosure,103,11,Rangeland,42,1.262692340638679,18
25.855,2020,Control,302,4,Forest,46,1.726007082737545,10
32.852,2020,Mowing,12,10,Forest,46,1.5354405469084453,9
30.79,2020,PermanentExclosure,164,8,Forest,46,1.2408375260878004,8
29.297,2020,SummerExclosure,298,10,Forest,46,1.0782551248793486,9
27.164,2020,WinterExclosure,134,8,Forest,46,1.239890042671038,6
26.7344,2020,Control,146,8,Forest,47,1.225791694451155,9
25.8817,2020,Mowing,32,12,Forest,47,1.6020331163398667,13
27.277,2020,PermanentExclosure,212,6,Forest,47,2.1371959262554823,17
28.614,2020,SummerExclosure,338,6,Forest,47,2.0958688562082526,17
25.165,2020,WinterExclosure,182,12,Forest,47,1.4789050575331464,13
63.331,2020,Control,152,16,Rangeland,5,0.4230990431457581,6
60.557,2020,Mowing,168,10,Rangeland,5,1.804339931017907,18
62.715,2020,PermanentExclosure,160,21,Rangeland,5,1.5376516039169872,12
60.971,2020,SummerExclosure,144,10,Rangeland,5,0.4593181637087575,6
62.202,2020,WinterExclosure,164,12,Rangeland,5,2.20993053026592,17
72.395,2020,Control,124,4,Rangeland,54,1.8101047342125296,19
73.812,2020,Mowing,99,2,Rangeland,54,1.6666543194792953,18
74.567,2020,PermanentExclosure,11,1.5,Rangeland,54,1.293819797773242,9
73.668,2020,SummerExclosure,90,3,Rangeland,54,1.730046311521066,10
74.477,2020,WinterExclosure,110,4,Rangeland,54,2.1738789035531547,21
70.733,2020,Control,102,4,Rangeland,55,1.835201016091598,20
68.901,2020,Mowing,60,4,Rangeland,55,1.775295399898741,19
68.974,2020,PermanentExclosure,60,5,Rangeland,55,1.8623460425073632,15
69.772,2020,SummerExclosure,39,3,Rangeland,55,1.6894576801387566,18
69.914,2020,WinterExclosure,110,4,Rangeland,55,2.1811824759953424,17
62.814,2020,Control,180,1,Rangeland,6,1.6072226379131387,9
63.011,2020,Mowing,150,2,Rangeland,6,1.7632861157972872,17
62.708,2020,PermanentExclosure,129,2,Rangeland,6,0.9233547830247315,10
